k_long[1/Mpc]   bias Eulerian 
8.900381e-03   2.283042e+00 
1.120492e-02   2.285201e+00 
1.120492e-02   2.285201e+00 
1.120492e-02   2.285201e+00 
1.120492e-02   2.285201e+00 
1.120492e-02   2.285201e+00 
1.410615e-02   2.287686e+00 
1.410615e-02   2.287686e+00 
1.410615e-02   2.287686e+00 
1.410615e-02   2.287686e+00 
1.775850e-02   2.290159e+00 
1.775850e-02   2.290159e+00 
1.775850e-02   2.290159e+00 
1.775850e-02   2.290159e+00 
1.775850e-02   2.290159e+00 
2.234439e-02   2.292470e+00 
2.234439e-02   2.292470e+00 
2.234439e-02   2.292470e+00 
2.234439e-02   2.292470e+00 
2.234439e-02   2.292470e+00 
2.774042e-02   2.294578e+00 
2.774042e-02   2.294578e+00 
2.774042e-02   2.294578e+00 
2.774042e-02   2.294578e+00 
3.227383e-02   2.296003e+00 
3.227383e-02   2.296003e+00 
3.227383e-02   2.296003e+00 
3.556448e-02   2.296887e+00 
3.828064e-02   2.297579e+00 
3.828064e-02   2.297579e+00 
4.070699e-02   2.297832e+00 
4.297061e-02   2.298287e+00 
4.513887e-02   2.298729e+00 
4.725218e-02   2.298923e+00 
4.933710e-02   2.299405e+00 
5.141236e-02   2.299656e+00 
5.349195e-02   2.299952e+00 
5.558680e-02   2.300274e+00 
5.985663e-02   2.300648e+00 
6.204570e-02   2.300653e+00 
6.427893e-02   2.300852e+00 
6.889898e-02   2.301192e+00 
7.129553e-02   2.301313e+00 
7.375587e-02   2.301589e+00 
7.888541e-02   2.301917e+00 
8.156313e-02   2.302074e+00 
8.432174e-02   2.302025e+00 
9.009814e-02   2.302257e+00 
9.312418e-02   2.302296e+00 
9.947255e-02   2.302640e+00 
1.028031e-01   2.302816e+00 
1.097978e-01   2.302829e+00 
1.134703e-01   2.303102e+00 
1.172652e-01   2.302950e+00 
1.252394e-01   2.303308e+00 
1.294275e-01   2.303229e+00 
1.382286e-01   2.303356e+00 
1.428512e-01   2.303450e+00 
1.476284e-01   2.303509e+00 
1.576682e-01   2.303669e+00 
1.629425e-01   2.303776e+00 
1.740319e-01   2.303815e+00 
1.798615e-01   2.303659e+00 
1.921320e-01   2.303846e+00 
1.985922e-01   2.303929e+00 
2.052836e-01   2.303863e+00 
2.194129e-01   2.303999e+00 
2.268813e-01   2.304104e+00 
2.427195e-01   2.304053e+00 
2.511356e-01   2.304017e+00 
2.599203e-01   2.303981e+00 
2.787383e-01   2.304105e+00 
2.888606e-01   2.304142e+00 
2.995334e-01   2.304135e+00 
3.108290e-01   2.304141e+00 
3.356724e-01   2.304218e+00 
3.494814e-01   2.304219e+00 
3.644590e-01   2.304247e+00 
3.808693e-01   2.304272e+00 
3.990826e-01   2.304285e+00 
