k_long[1/Mpc]   bias Lagrangian 
8.900381e-03   1.971529e-01 
1.120492e-02   1.972675e-01 
1.120492e-02   1.972675e-01 
1.120492e-02   1.972675e-01 
1.120492e-02   1.972675e-01 
1.120492e-02   1.972675e-01 
1.410615e-02   1.973261e-01 
1.410615e-02   1.973261e-01 
1.410615e-02   1.973261e-01 
1.410615e-02   1.973261e-01 
1.775850e-02   1.974038e-01 
1.775850e-02   1.974038e-01 
1.775850e-02   1.974038e-01 
1.775850e-02   1.974038e-01 
1.775850e-02   1.974038e-01 
2.234439e-02   1.974996e-01 
2.234439e-02   1.974996e-01 
2.234439e-02   1.974996e-01 
2.234439e-02   1.974996e-01 
2.234439e-02   1.974996e-01 
2.774042e-02   1.975526e-01 
2.774042e-02   1.975526e-01 
2.774042e-02   1.975526e-01 
2.774042e-02   1.975526e-01 
3.227383e-02   1.975949e-01 
3.227383e-02   1.975949e-01 
3.227383e-02   1.975949e-01 
3.556448e-02   1.976233e-01 
3.828064e-02   1.976113e-01 
3.828064e-02   1.976113e-01 
4.070699e-02   1.976287e-01 
4.297061e-02   1.976460e-01 
4.513887e-02   1.976280e-01 
4.725218e-02   1.976564e-01 
4.933710e-02   1.976527e-01 
5.141236e-02   1.976965e-01 
5.349195e-02   1.976700e-01 
5.558680e-02   1.976892e-01 
5.985663e-02   1.976906e-01 
6.204570e-02   1.977068e-01 
6.427893e-02   1.977133e-01 
6.889898e-02   1.977207e-01 
7.129553e-02   1.977186e-01 
7.375587e-02   1.977002e-01 
7.888541e-02   1.977144e-01 
8.156313e-02   1.977202e-01 
8.432174e-02   1.977368e-01 
9.009814e-02   1.977412e-01 
9.312418e-02   1.977326e-01 
9.947255e-02   1.977580e-01 
1.028031e-01   1.977323e-01 
1.097978e-01   1.977513e-01 
1.134703e-01   1.977411e-01 
1.172652e-01   1.977472e-01 
1.252394e-01   1.977424e-01 
1.294275e-01   1.977611e-01 
1.382286e-01   1.977634e-01 
1.428512e-01   1.977699e-01 
1.476284e-01   1.977714e-01 
1.576682e-01   1.977419e-01 
1.629425e-01   1.977518e-01 
1.740319e-01   1.977450e-01 
1.798615e-01   1.977564e-01 
1.921320e-01   1.977748e-01 
1.985922e-01   1.977428e-01 
2.052836e-01   1.977682e-01 
2.194129e-01   1.977409e-01 
2.268813e-01   1.977533e-01 
2.427195e-01   1.977782e-01 
2.511356e-01   1.977696e-01 
2.599203e-01   1.977609e-01 
2.787383e-01   1.977742e-01 
2.888606e-01   1.977772e-01 
2.995334e-01   1.977736e-01 
3.108290e-01   1.977721e-01 
3.356724e-01   1.977794e-01 
3.494814e-01   1.977773e-01 
3.644590e-01   1.977796e-01 
3.808693e-01   1.977814e-01 
3.990826e-01   1.977814e-01 
