delta_long_initial   k_long[1/Mpc]   delta_short_initial 
0.000000e+00   8.900381e-03   1.116470e-02 
0.000000e+00   1.120492e-02   1.116470e-02 
0.000000e+00   1.120492e-02   1.116470e-02 
0.000000e+00   1.120492e-02   1.116470e-02 
0.000000e+00   1.120492e-02   1.116470e-02 
0.000000e+00   1.120492e-02   1.116470e-02 
0.000000e+00   1.410615e-02   1.116470e-02 
0.000000e+00   1.410615e-02   1.116470e-02 
0.000000e+00   1.410615e-02   1.116470e-02 
0.000000e+00   1.410615e-02   1.116470e-02 
0.000000e+00   1.775850e-02   1.116470e-02 
0.000000e+00   1.775850e-02   1.116470e-02 
0.000000e+00   1.775850e-02   1.116470e-02 
0.000000e+00   1.775850e-02   1.116470e-02 
0.000000e+00   1.775850e-02   1.116470e-02 
0.000000e+00   2.234439e-02   1.116470e-02 
0.000000e+00   2.234439e-02   1.116470e-02 
0.000000e+00   2.234439e-02   1.116470e-02 
0.000000e+00   2.234439e-02   1.116470e-02 
0.000000e+00   2.234439e-02   1.116470e-02 
0.000000e+00   2.774042e-02   1.116470e-02 
0.000000e+00   2.774042e-02   1.116470e-02 
0.000000e+00   2.774042e-02   1.116470e-02 
0.000000e+00   2.774042e-02   1.116470e-02 
0.000000e+00   3.227383e-02   1.116470e-02 
0.000000e+00   3.227383e-02   1.116470e-02 
0.000000e+00   3.227383e-02   1.116470e-02 
0.000000e+00   3.556448e-02   1.116470e-02 
0.000000e+00   3.828064e-02   1.116470e-02 
0.000000e+00   3.828064e-02   1.116470e-02 
0.000000e+00   4.070699e-02   1.116470e-02 
0.000000e+00   4.297061e-02   1.116470e-02 
0.000000e+00   4.513887e-02   1.116470e-02 
0.000000e+00   4.725218e-02   1.116470e-02 
0.000000e+00   4.933710e-02   1.116470e-02 
0.000000e+00   5.141236e-02   1.116470e-02 
0.000000e+00   5.349195e-02   1.116470e-02 
0.000000e+00   5.558680e-02   1.116470e-02 
0.000000e+00   5.985663e-02   1.116470e-02 
0.000000e+00   6.204570e-02   1.116470e-02 
0.000000e+00   6.427893e-02   1.116470e-02 
0.000000e+00   6.889898e-02   1.116470e-02 
0.000000e+00   7.129553e-02   1.116470e-02 
0.000000e+00   7.375587e-02   1.116470e-02 
0.000000e+00   7.888541e-02   1.116470e-02 
0.000000e+00   8.156313e-02   1.116470e-02 
0.000000e+00   8.432174e-02   1.116470e-02 
0.000000e+00   9.009814e-02   1.116470e-02 
0.000000e+00   9.312418e-02   1.116470e-02 
0.000000e+00   9.947255e-02   1.116470e-02 
0.000000e+00   1.028031e-01   1.116470e-02 
0.000000e+00   1.097978e-01   1.116470e-02 
0.000000e+00   1.134703e-01   1.116470e-02 
0.000000e+00   1.172652e-01   1.116470e-02 
0.000000e+00   1.252394e-01   1.116470e-02 
0.000000e+00   1.294275e-01   1.116470e-02 
0.000000e+00   1.382286e-01   1.116470e-02 
0.000000e+00   1.428512e-01   1.116470e-02 
0.000000e+00   1.476284e-01   1.116470e-02 
0.000000e+00   1.576682e-01   1.116470e-02 
