k_long[1/Mpc]	 Pmm	 Pmh	 Phh 
8.9004e-03	 7.7088e+04	 1.4474e+05	 2.7177e+05 
1.1205e-02	 7.8606e+04	 1.4773e+05	 2.7762e+05 
1.1205e-02	 7.8606e+04	 1.4773e+05	 2.7762e+05 
1.1205e-02	 7.8606e+04	 1.4773e+05	 2.7762e+05 
1.1205e-02	 7.8606e+04	 1.4773e+05	 2.7762e+05 
1.1205e-02	 7.8606e+04	 1.4773e+05	 2.7762e+05 
1.4106e-02	 7.5862e+04	 1.4272e+05	 2.6849e+05 
1.4106e-02	 7.5862e+04	 1.4272e+05	 2.6849e+05 
1.4106e-02	 7.5862e+04	 1.4272e+05	 2.6849e+05 
1.4106e-02	 7.5862e+04	 1.4272e+05	 2.6849e+05 
1.7758e-02	 6.8403e+04	 1.2882e+05	 2.4259e+05 
1.7758e-02	 6.8403e+04	 1.2882e+05	 2.4259e+05 
1.7758e-02	 6.8403e+04	 1.2882e+05	 2.4259e+05 
1.7758e-02	 6.8403e+04	 1.2882e+05	 2.4259e+05 
1.7758e-02	 6.8403e+04	 1.2882e+05	 2.4259e+05 
2.2344e-02	 5.7387e+04	 1.0818e+05	 2.0392e+05 
2.2344e-02	 5.7387e+04	 1.0818e+05	 2.0392e+05 
2.2344e-02	 5.7387e+04	 1.0818e+05	 2.0392e+05 
2.2344e-02	 5.7387e+04	 1.0818e+05	 2.0392e+05 
2.2344e-02	 5.7387e+04	 1.0818e+05	 2.0392e+05 
2.7740e-02	 4.6538e+04	 8.7806e+04	 1.6567e+05 
2.7740e-02	 4.6538e+04	 8.7806e+04	 1.6567e+05 
2.7740e-02	 4.6538e+04	 8.7806e+04	 1.6567e+05 
2.7740e-02	 4.6538e+04	 8.7806e+04	 1.6567e+05 
3.2274e-02	 4.0369e+04	 7.6212e+04	 1.4388e+05 
3.2274e-02	 4.0369e+04	 7.6212e+04	 1.4388e+05 
3.2274e-02	 4.0369e+04	 7.6212e+04	 1.4388e+05 
3.5564e-02	 3.7320e+04	 7.0483e+04	 1.3311e+05 
3.8281e-02	 3.5407e+04	 6.6890e+04	 1.2636e+05 
3.8281e-02	 3.5407e+04	 6.6890e+04	 1.2636e+05 
4.0707e-02	 3.3957e+04	 6.4158e+04	 1.2122e+05 
4.2971e-02	 3.2689e+04	 6.1773e+04	 1.1673e+05 
4.5139e-02	 3.1461e+04	 5.9464e+04	 1.1239e+05 
4.7252e-02	 3.0199e+04	 5.7083e+04	 1.0790e+05 
4.9337e-02	 2.8867e+04	 5.4571e+04	 1.0316e+05 
5.1412e-02	 2.7456e+04	 5.1914e+04	 9.8159e+04 
5.3492e-02	 2.5978e+04	 4.9125e+04	 9.2897e+04 
5.5587e-02	 2.4458e+04	 4.6253e+04	 8.7469e+04 
5.9857e-02	 2.1447e+04	 4.0569e+04	 7.6739e+04 
6.2046e-02	 2.0038e+04	 3.7904e+04	 7.1699e+04 
6.4279e-02	 1.8744e+04	 3.5458e+04	 6.7079e+04 
6.8899e-02	 1.6601e+04	 3.1410e+04	 5.9430e+04 
7.1296e-02	 1.5773e+04	 2.9844e+04	 5.6470e+04 
