#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_ncdm[1]              8:d_tot                  9:phi                   10:psi                
       1.053468002219e-05      -1.309714880511e-03      -9.827931718986e-04      -9.827932046503e-04      -1.309694711753e-03      -9.825455974970e-04      -9.825805024642e-04      -9.828605648687e-04       4.763957367734e-01       4.762885654754e-01 
       1.326237638505e-05      -2.075130274628e-03      -1.557621083483e-03      -1.557621165748e-03      -2.075079625610e-03      -1.557227994004e-03      -1.557281635256e-03      -1.557727770286e-03       4.763952993515e-01       4.762881747519e-01 
       1.669634265192e-05      -3.287283166339e-03      -2.468660246702e-03      -2.468660453328e-03      -3.287155991488e-03      -2.468035457182e-03      -2.468116254471e-03      -2.468829022895e-03       4.763946097985e-01       4.762875591800e-01 
       2.101945004853e-05      -5.206034783151e-03      -3.912555964229e-03      -3.912556483187e-03      -5.205715535496e-03      -3.911561256623e-03      -3.911678715958e-03      -3.912822675750e-03       4.763935402557e-01       4.762866067948e-01 
       2.646191980803e-05      -8.241075354940e-03      -6.200965452526e-03      -6.200966755853e-03      -8.240274235920e-03      -6.199377686809e-03      -6.199537233330e-03      -6.201386202519e-03       4.763917962238e-01       4.762850482724e-01 
       3.331358329119e-05      -1.303630876141e-02      -9.827823946331e-03      -9.827827219243e-03      -1.303429957660e-02      -9.825279222576e-03      -9.825465240731e-03      -9.828485876022e-03       4.763890753248e-01       4.762826208928e-01 
       4.193931656320e-05      -2.059871354586e-02      -1.557594030784e-02      -1.557594852516e-02      -2.059367930285e-02      -1.557183614581e-02      -1.557196307578e-02      -1.557697708076e-02       4.763847504333e-01       4.762787599209e-01 
       5.279847137469e-05      -3.249047456066e-02      -2.468592335530e-02      -2.468594398119e-02      -3.247787902601e-02      -2.467924024096e-02      -2.467901977619e-02      -2.468753571080e-02       4.763779067346e-01       4.762726483867e-01 
       6.646933731749e-05      -5.110359530011e-02      -3.912385244528e-02      -3.912390419619e-02      -5.107215406651e-02      -3.911281218403e-02      -3.911140399988e-02      -3.912633089911e-02       4.763670705798e-01       4.762629648800e-01 
       8.367993785410e-05      -8.002210779521e-02      -6.200537340240e-02      -6.200550315871e-02      -7.994391246959e-02      -6.198674992591e-02      -6.198185990190e-02      -6.200910997857e-02       4.763499479572e-01       4.762476496518e-01 
       1.053468002219e-04      -1.244207238668e-01      -9.826749630872e-02      -9.826782130475e-02      -1.242273824100e-01      -9.823515243981e-02      -9.822073037986e-02      -9.827294442602e-02       4.763229218762e-01       4.762234399178e-01 
       1.326237638505e-04      -1.912870421584e-01      -1.557324682219e-01      -1.557332808676e-01      -1.908134206155e-01      -1.556741052782e-01      -1.556345095285e-01      -1.557399401305e-01       4.762803582954e-01       4.761852211092e-01 
       1.669634265192e-04      -2.888623696957e-01      -2.467917696321e-01      -2.467937962648e-01      -2.877192628109e-01      -2.466814382734e-01      -2.465767207702e-01      -2.468007985349e-01       4.762135657764e-01       4.761250245504e-01 
       2.101945004853e-04      -4.238991498154e-01      -3.910698272947e-01      -3.910748604697e-01      -4.212051492682e-01      -3.908501935148e-01      -3.905791492031e-01      -3.910774802281e-01       4.761093315930e-01       4.760305484724e-01 
       2.646191980803e-04      -5.941676914211e-01      -6.196329432155e-01      -6.196453621000e-01      -5.880582719789e-01      -6.191724815534e-01      -6.184802550183e-01      -6.196298727648e-01       4.759480189427e-01       4.758830774083e-01 
       3.331358329119e-04      -7.735456076025e-01      -9.816293920024e-01      -9.816597252916e-01      -7.605362182987e-01      -9.806177466424e-01      -9.788660082928e-01      -9.815917670693e-01       4.757014012088e-01       4.756547714916e-01 
       4.193931656320e-04      -8.940249940147e-01      -1.554741600622e+00      -1.554814540724e+00      -8.690942015325e-01      -1.552431891884e+00      -1.548031327939e+00      -1.554617716554e+00       4.753306784403e-01       4.753055458599e-01 
       5.279847137469e-04      -8.557736499403e-01      -2.461589112633e+00      -2.461760401741e+00      -8.160428222807e-01      -2.456161359318e+00      -2.445185605742e+00      -2.461284895763e+00       4.747850264222e-01       4.747801497994e-01 
       6.646933731749e-04      -6.335894652608e-01      -3.895369288860e+00      -3.895757705571e+00      -5.892899625346e-01      -3.882359916886e+00      -3.855217270848e+00      -3.894746294364e+00       4.739990365485e-01       4.740058593294e-01 
       8.367993785410e-04      -4.418603414754e-01      -6.159734540060e+00      -6.160572600323e+00      -4.235594003300e-01      -6.128188121738e+00      -6.061838763828e+00      -6.158608053811e+00       4.728825076863e-01       4.728884191024e-01 
       1.053468002219e-03      -4.744071351064e-01      -9.730365900224e+00      -9.732057133448e+00      -4.909330146811e-01      -9.653541315821e+00      -9.494037573885e+00      -9.728340472660e+00       4.712973187684e-01       4.712981335276e-01 
       1.326237638505e-03      -3.446610211093e-01      -1.534901341813e+01      -1.535215397284e+01      -3.354946083719e-01      -1.516249832307e+01      -1.478825018436e+01      -1.534493522851e+01       4.690435557209e-01       4.690449130124e-01 
       1.669634265192e-03      -2.938771696580e-01      -2.416468417333e+01      -2.417001223687e+01      -2.744112873478e-01      -2.371686880718e+01      -2.286845738073e+01      -2.415583463925e+01       4.658695237189e-01       4.658697879120e-01 
       2.101945004853e-03      -1.325699018938e-01      -3.794308491777e+01      -3.795154421045e+01      -1.376493442266e-01      -3.688915529527e+01      -3.505147059310e+01      -3.792337886049e+01       4.614725404638e-01       4.614729748763e-01 
       2.646191980803e-03      -1.296994871632e-01      -5.936770223301e+01      -5.938134550373e+01      -1.083624938061e-01      -5.695878789416e+01      -5.318412704262e+01      -5.932531626365e+01       4.554876737690e-01       4.554876050682e-01 
       3.331358329119e-03      -6.652278238538e-02      -9.246540684439e+01      -9.248930096026e+01      -7.654659044067e-02      -8.715886632899e+01      -7.977668075041e+01      -9.237853487522e+01       4.475134595395e-01       4.475133466418e-01 
       4.193931656320e-03       1.307031824538e-02      -1.431916141873e+02      -1.432345997342e+02      -2.840409224770e-01      -1.319860178305e+02      -1.180324274850e+02      -1.430191650249e+02       4.371476326147e-01       4.371476992947e-01 
       5.279847137469e-03       1.662551700900e-01      -2.201856442238e+02      -2.202653778537e+02       1.701074619903e-01      -1.975417712168e+02      -1.719591632208e+02      -2.198557335388e+02       4.240049174378e-01       4.240048923154e-01 
