k_long[1/Mpc]   bias Lagrangian 
8.866209e-03   -1.849154e-01 
1.116190e-02   -1.849293e-01 
1.116190e-02   -1.849293e-01 
1.116190e-02   -1.849293e-01 
1.116190e-02   -1.849293e-01 
1.405199e-02   -1.849196e-01 
1.405199e-02   -1.849196e-01 
1.405199e-02   -1.849196e-01 
1.405199e-02   -1.849196e-01 
1.405199e-02   -1.849196e-01 
1.769033e-02   -1.849013e-01 
1.769033e-02   -1.849013e-01 
1.769033e-02   -1.849013e-01 
1.769033e-02   -1.849013e-01 
1.769033e-02   -1.849013e-01 
2.225937e-02   -1.849122e-01 
2.225937e-02   -1.849122e-01 
2.225937e-02   -1.849122e-01 
2.225937e-02   -1.849122e-01 
2.225937e-02   -1.849122e-01 
2.765040e-02   -1.849044e-01 
2.765040e-02   -1.849044e-01 
2.765040e-02   -1.849044e-01 
2.765040e-02   -1.849044e-01 
3.220914e-02   -1.849238e-01 
3.220914e-02   -1.849238e-01 
3.220914e-02   -1.849238e-01 
3.551287e-02   -1.849347e-01 
3.823508e-02   -1.849258e-01 
3.823508e-02   -1.849258e-01 
4.066459e-02   -1.849149e-01 
4.292995e-02   -1.849068e-01 
4.509913e-02   -1.849093e-01 
4.721285e-02   -1.849201e-01 
4.929782e-02   -1.849402e-01 
5.137288e-02   -1.849302e-01 
5.345206e-02   -1.849290e-01 
5.554635e-02   -1.849365e-01 
5.981466e-02   -1.849199e-01 
6.200282e-02   -1.849256e-01 
6.423503e-02   -1.849228e-01 
6.885279e-02   -1.849158e-01 
7.124807e-02   -1.849447e-01 
7.370706e-02   -1.849226e-01 
7.883367e-02   -1.849258e-01 
8.150980e-02   -1.849260e-01 
8.426675e-02   -1.849364e-01 
9.003960e-02   -1.849337e-01 
9.306376e-02   -1.849200e-01 
9.940811e-02   -1.849321e-01 
1.027366e-01   -1.849433e-01 
1.097267e-01   -1.849169e-01 
1.133969e-01   -1.849425e-01 
1.171893e-01   -1.849451e-01 
1.251584e-01   -1.849355e-01 
1.293438e-01   -1.849121e-01 
1.381392e-01   -1.849115e-01 
1.427588e-01   -1.849129e-01 
1.524668e-01   -1.849297e-01 
1.575662e-01   -1.849193e-01 
1.628370e-01   -1.849282e-01 
1.739192e-01   -1.849213e-01 
1.797449e-01   -1.849295e-01 
1.920073e-01   -1.849432e-01 
1.984630e-01   -1.849109e-01 
2.051499e-01   -1.849361e-01 
2.192691e-01   -1.849433e-01 
2.267321e-01   -1.849192e-01 
2.425583e-01   -1.849408e-01 
2.509677e-01   -1.849309e-01 
2.597452e-01   -1.849239e-01 
2.785467e-01   -1.849344e-01 
2.886594e-01   -1.849349e-01 
2.993216e-01   -1.849314e-01 
3.225997e-01   -1.849324e-01 
3.354189e-01   -1.849367e-01 
3.492091e-01   -1.849341e-01 
3.641642e-01   -1.849357e-01 
3.805469e-01   -1.849357e-01 
3.987252e-01   -1.849366e-01 
