delta_long   k_long[1/Mpc]   delta_crit 
0.000000e+00   8.866209e-03   1.658696e+00 
0.000000e+00   1.116190e-02   1.658696e+00 
0.000000e+00   1.116190e-02   1.658696e+00 
0.000000e+00   1.116190e-02   1.658696e+00 
0.000000e+00   1.116190e-02   1.658696e+00 
0.000000e+00   1.405199e-02   1.658696e+00 
0.000000e+00   1.405199e-02   1.658696e+00 
0.000000e+00   1.405199e-02   1.658696e+00 
0.000000e+00   1.405199e-02   1.658696e+00 
0.000000e+00   1.405199e-02   1.658696e+00 
0.000000e+00   1.769033e-02   1.658696e+00 
0.000000e+00   1.769033e-02   1.658696e+00 
0.000000e+00   1.769033e-02   1.658696e+00 
0.000000e+00   1.769033e-02   1.658696e+00 
0.000000e+00   1.769033e-02   1.658696e+00 
0.000000e+00   2.225937e-02   1.658696e+00 
0.000000e+00   2.225937e-02   1.658696e+00 
0.000000e+00   2.225937e-02   1.658696e+00 
0.000000e+00   2.225937e-02   1.658696e+00 
0.000000e+00   2.225937e-02   1.658696e+00 
0.000000e+00   2.765040e-02   1.658696e+00 
0.000000e+00   2.765040e-02   1.658696e+00 
0.000000e+00   2.765040e-02   1.658696e+00 
0.000000e+00   2.765040e-02   1.658696e+00 
0.000000e+00   3.220914e-02   1.658696e+00 
0.000000e+00   3.220914e-02   1.658696e+00 
0.000000e+00   3.220914e-02   1.658696e+00 
0.000000e+00   3.551287e-02   1.658696e+00 
0.000000e+00   3.823508e-02   1.658696e+00 
0.000000e+00   3.823508e-02   1.658696e+00 
0.000000e+00   4.066459e-02   1.658696e+00 
0.000000e+00   4.292995e-02   1.658696e+00 
0.000000e+00   4.509913e-02   1.658696e+00 
0.000000e+00   4.721285e-02   1.658696e+00 
0.000000e+00   4.929782e-02   1.658696e+00 
0.000000e+00   5.137288e-02   1.658696e+00 
0.000000e+00   5.345206e-02   1.658696e+00 
0.000000e+00   5.554635e-02   1.658696e+00 
0.000000e+00   5.981466e-02   1.658696e+00 
0.000000e+00   6.200282e-02   1.658696e+00 
0.000000e+00   6.423503e-02   1.658696e+00 
0.000000e+00   6.885279e-02   1.658696e+00 
0.000000e+00   7.124807e-02   1.658696e+00 
0.000000e+00   7.370706e-02   1.658696e+00 
0.000000e+00   7.883367e-02   1.658696e+00 
0.000000e+00   8.150980e-02   1.658696e+00 
0.000000e+00   8.426675e-02   1.658696e+00 
0.000000e+00   9.003960e-02   1.658696e+00 
0.000000e+00   9.306376e-02   1.658696e+00 
0.000000e+00   9.940811e-02   1.658696e+00 
0.000000e+00   1.027366e-01   1.658696e+00 
0.000000e+00   1.097267e-01   1.658696e+00 
0.000000e+00   1.133969e-01   1.658696e+00 
0.000000e+00   1.171893e-01   1.658696e+00 
0.000000e+00   1.251584e-01   1.658696e+00 
0.000000e+00   1.293438e-01   1.658696e+00 
0.000000e+00   1.381392e-01   1.658696e+00 
0.000000e+00   1.427588e-01   1.658696e+00 
0.000000e+00   1.524668e-01   1.658696e+00 
0.000000e+00   1.575662e-01   1.658696e+00 
0.000000e+00   1.628370e-01   1.658696e+00 
0.000000e+00   1.739192e-01   1.658696e+00 
0.000000e+00   1.797449e-01   1.658696e+00 
0.000000e+00   1.920073e-01   1.658696e+00 
0.000000e+00   1.984630e-01   1.658696e+00 
0.000000e+00   2.051499e-01   1.658696e+00 
0.000000e+00   2.192691e-01   1.658696e+00 
0.000000e+00   2.267321e-01   1.658696e+00 
0.000000e+00   2.425583e-01   1.658696e+00 
0.000000e+00   2.509677e-01   1.658696e+00 
0.000000e+00   2.597452e-01   1.658696e+00 
0.000000e+00   2.785467e-01   1.658696e+00 
