k_long[1/Mpc]	 Pmm	 Pmh	 Phh 
8.8662e-03	 8.0234e+04	 8.4327e+04	 8.8629e+04 
1.1162e-02	 8.2313e+04	 8.6512e+04	 9.0925e+04 
1.1162e-02	 8.2313e+04	 8.6512e+04	 9.0925e+04 
1.1162e-02	 8.2313e+04	 8.6512e+04	 9.0925e+04 
1.1162e-02	 8.2313e+04	 8.6512e+04	 9.0925e+04 
1.4052e-02	 7.9938e+04	 8.4016e+04	 8.8302e+04 
1.4052e-02	 7.9938e+04	 8.4016e+04	 8.8302e+04 
1.4052e-02	 7.9938e+04	 8.4016e+04	 8.8302e+04 
1.4052e-02	 7.9938e+04	 8.4016e+04	 8.8302e+04 
1.4052e-02	 7.9938e+04	 8.4016e+04	 8.8302e+04 
1.7690e-02	 7.2519e+04	 7.6219e+04	 8.0107e+04 
1.7690e-02	 7.2519e+04	 7.6219e+04	 8.0107e+04 
1.7690e-02	 7.2519e+04	 7.6219e+04	 8.0107e+04 
1.7690e-02	 7.2519e+04	 7.6219e+04	 8.0107e+04 
1.7690e-02	 7.2519e+04	 7.6219e+04	 8.0107e+04 
2.2259e-02	 6.1173e+04	 6.4293e+04	 6.7573e+04 
2.2259e-02	 6.1173e+04	 6.4293e+04	 6.7573e+04 
2.2259e-02	 6.1173e+04	 6.4293e+04	 6.7573e+04 
2.2259e-02	 6.1173e+04	 6.4293e+04	 6.7573e+04 
2.2259e-02	 6.1173e+04	 6.4293e+04	 6.7573e+04 
2.7650e-02	 4.9778e+04	 5.2317e+04	 5.4987e+04 
2.7650e-02	 4.9778e+04	 5.2317e+04	 5.4987e+04 
2.7650e-02	 4.9778e+04	 5.2317e+04	 5.4987e+04 
2.7650e-02	 4.9778e+04	 5.2317e+04	 5.4987e+04 
3.2209e-02	 4.3212e+04	 4.5416e+04	 4.7733e+04 
3.2209e-02	 4.3212e+04	 4.5416e+04	 4.7733e+04 
3.2209e-02	 4.3212e+04	 4.5416e+04	 4.7733e+04 
3.5513e-02	 3.9975e+04	 4.2014e+04	 4.4158e+04 
3.8235e-02	 3.7949e+04	 3.9885e+04	 4.1920e+04 
3.8235e-02	 3.7949e+04	 3.9885e+04	 4.1920e+04 
4.0665e-02	 3.6416e+04	 3.8274e+04	 4.0226e+04 
4.2930e-02	 3.5076e+04	 3.6865e+04	 3.8745e+04 
4.5099e-02	 3.3776e+04	 3.5499e+04	 3.7309e+04 
4.7213e-02	 3.2437e+04	 3.4091e+04	 3.5830e+04 
4.9298e-02	 3.1020e+04	 3.2603e+04	 3.4266e+04 
5.1373e-02	 2.9518e+04	 3.1024e+04	 3.2607e+04 
5.3452e-02	 2.7941e+04	 2.9366e+04	 3.0864e+04 
5.5546e-02	 2.6317e+04	 2.7659e+04	 2.9070e+04 
5.9815e-02	 2.3092e+04	 2.4270e+04	 2.5508e+04 
6.2003e-02	 2.1581e+04	 2.2681e+04	 2.3838e+04 
6.4235e-02	 2.0191e+04	 2.1221e+04	 2.2304e+04 
6.8853e-02	 1.7889e+04	 1.8801e+04	 1.9761e+04 
7.1248e-02	 1.6998e+04	 1.7865e+04	 1.8776e+04 
7.3707e-02	 1.6270e+04	 1.7100e+04	 1.7972e+04 
7.8834e-02	 1.5187e+04	 1.5961e+04	 1.6775e+04 
8.1510e-02	 1.4744e+04	 1.5496e+04	 1.6287e+04 
8.4267e-02	 1.4299e+04	 1.5029e+04	 1.5795e+04 
9.0040e-02	 1.3225e+04	 1.3900e+04	 1.4609e+04 
9.3064e-02	 1.2550e+04	 1.3191e+04	 1.3864e+04 
9.9408e-02	 1.0993e+04	 1.1553e+04	 1.2143e+04 
1.0274e-01	 1.0198e+04	 1.0719e+04	 1.1265e+04 
1.0973e-01	 8.8363e+03	 9.2871e+03	 9.7608e+03 
1.1340e-01	 8.3304e+03	 8.7554e+03	 9.2020e+03 
1.1719e-01	 7.9407e+03	 8.3458e+03	 8.7716e+03 
1.2516e-01	 7.3617e+03	 7.7372e+03	 8.1319e+03 
1.2934e-01	 7.0714e+03	 7.4322e+03	 7.8114e+03 
1.3814e-01	 6.3087e+03	 6.6305e+03	 6.9688e+03 
1.4276e-01	 5.8600e+03	 6.1590e+03	 6.4732e+03 
1.5247e-01	 5.0410e+03	 5.2982e+03	 5.5684e+03 
1.5757e-01	 4.7337e+03	 4.9751e+03	 5.2289e+03 
1.6284e-01	 4.4948e+03	 4.7241e+03	 4.9651e+03 
1.7392e-01	 4.0823e+03	 4.2905e+03	 4.5094e+03 
1.7974e-01	 3.8436e+03	 4.0397e+03	 4.2458e+03 
1.9201e-01	 3.3187e+03	 3.4880e+03	 3.6660e+03 
1.9846e-01	 3.0916e+03	 3.2493e+03	 3.4151e+03 
2.0515e-01	 2.9069e+03	 3.0552e+03	 3.2111e+03 
2.1927e-01	 2.5914e+03	 2.7236e+03	 2.8625e+03 
2.2673e-01	 2.4218e+03	 2.5454e+03	 2.6752e+03 
2.4256e-01	 2.0918e+03	 2.1985e+03	 2.3106e+03 
2.5097e-01	 1.9566e+03	 2.0564e+03	 2.1613e+03 
2.5975e-01	 1.8335e+03	 1.9271e+03	 2.0254e+03 
2.7855e-01	 1.5858e+03	 1.6667e+03	 1.7517e+03 
2.8866e-01	 1.4699e+03	 1.5449e+03	 1.6237e+03 
2.9932e-01	 1.3651e+03	 1.4347e+03	 1.5079e+03 
3.2260e-01	 1.1676e+03	 1.2272e+03	 1.2898e+03 
3.3542e-01	 1.0739e+03	 1.1286e+03	 1.1862e+03 
3.4921e-01	 9.8680e+02	 1.0371e+03	 1.0900e+03 
3.6416e-01	 9.0212e+02	 9.4814e+02	 9.9651e+02 
3.8055e-01	 8.2011e+02	 8.6194e+02	 9.0591e+02 
