#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                
       1.049423356275e-05      -1.310813252119e-03      -9.836175252405e-04      -9.836175582160e-04      -1.310792975648e-03      -9.837148864088e-04       4.752473114352e-01       4.750990822632e-01 
       1.321145730945e-05      -2.076870437926e-03      -1.558927649495e-03      -1.558927732321e-03      -2.076819518644e-03      -1.559081793415e-03       4.752468573266e-01       4.750986933998e-01 
       1.663223933370e-05      -3.290038286621e-03      -2.470730211884e-03      -2.470730419921e-03      -3.289910433162e-03      -2.470974103840e-03       4.752459608741e-01       4.750979003984e-01 
       2.093874875224e-05      -5.210395754144e-03      -3.915835793992e-03      -3.915836316495e-03      -5.210074801967e-03      -3.916221308377e-03       4.752447055307e-01       4.750968088331e-01 
       2.636032289537e-05      -8.247972302123e-03      -6.206161010676e-03      -6.206162322894e-03      -8.247166908811e-03      -6.206769429282e-03       4.752426288663e-01       4.750949914848e-01 
       3.318568035608e-05      -1.304720320070e-02      -9.836052116903e-03      -9.836055412116e-03      -1.304518330974e-02      -9.837009923993e-03       4.752393979564e-01       4.750921708675e-01 
       4.177829630795e-05      -2.061588858087e-02      -1.558896532605e-02      -1.558897359946e-02      -2.061082744789e-02      -1.559046713376e-02       4.752342626463e-01       4.750876840798e-01 
       5.259575888354e-05      -3.251746555138e-02      -2.470652664185e-02      -2.470654740874e-02      -3.250480265609e-02      -2.470886628248e-02       4.752261287031e-01       4.750805736003e-01 
       6.621413741109e-05      -5.114580002405e-02      -3.915640669207e-02      -3.915645879628e-02      -5.111419081065e-02      -3.916001353027e-02       4.752132604846e-01       4.750693165377e-01 
       8.335866020685e-05      -8.008757151955e-02      -6.205671837642e-02      -6.205684901776e-02      -8.000895817177e-02      -6.206218309175e-02       4.751929336425e-01       4.750515159502e-01 
       1.049423356275e-04      -1.245209459602e-01      -9.834824719632e-02      -9.834857440821e-02      -1.243265699952e-01      -9.835628597808e-02       4.751608721934e-01       4.750233906910e-01 
       1.321145730945e-04      -1.914372167605e-01      -1.558588888554e-01      -1.558597070374e-01      -1.909610569671e-01      -1.558701061872e-01       4.751104335690e-01       4.749790236441e-01 
       1.663223933370e-04      -2.890794037748e-01      -2.469882522589e-01      -2.469902926984e-01      -2.879301486957e-01      -2.470023577987e-01       4.750314207124e-01       4.749092263890e-01 
       2.093874875224e-04      -4.241934490782e-01      -3.913716405234e-01      -3.913767079550e-01      -4.214848844854e-01      -3.913853562284e-01       4.749084520865e-01       4.747998867921e-01 
       2.636032289537e-04      -5.945205823149e-01      -6.200878020111e-01      -6.201003052148e-01      -5.883779050634e-01      -6.200900121622e-01       4.747189596636e-01       4.746297158593e-01 
       3.318568035608e-04      -7.738601506202e-01      -9.822936303788e-01      -9.823241685260e-01      -7.607792296555e-01      -9.822558331389e-01       4.744311856158e-01       4.743674783422e-01 
       4.177829630795e-04      -8.940463165965e-01      -1.555660655894e+00      -1.555734086368e+00      -8.689757565215e-01      -1.555522822403e+00       4.740029861262e-01       4.739692030849e-01 
       5.259575888354e-04      -8.550282797485e-01      -2.462740940250e+00      -2.462913370443e+00      -8.150678412046e-01      -2.462403482715e+00       4.733821820437e-01       4.733764864922e-01 
       6.621413741109e-04      -6.315299968632e-01      -3.896534645258e+00      -3.896925616861e+00      -5.869602644722e-01      -3.895888235437e+00       4.725064189785e-01       4.725167522572e-01 
       8.335866020685e-04      -4.384003453536e-01      -6.160253516410e+00      -6.161096966786e+00      -4.199702829688e-01      -6.159261673409e+00       4.712936420263e-01       4.713024156787e-01 
       1.049423356275e-03      -4.701786891581e-01      -9.728781692051e+00      -9.730483421414e+00      -4.868021483994e-01      -9.727467075494e+00       4.696160156684e-01       4.696176580392e-01 
       1.321145730945e-03      -3.397454816950e-01      -1.534276268122e+01      -1.534592160535e+01      -3.305131960682e-01      -1.534096710867e+01       4.672882916514e-01       4.672908820131e-01 
       1.663223933370e-03      -2.881367332412e-01      -2.415046866828e+01      -2.415582476269e+01      -2.686049539683e-01      -2.414789254314e+01       4.640913695422e-01       4.640924141098e-01 
       2.093874875224e-03      -1.263558577200e-01      -3.791969104239e+01      -3.792818651700e+01      -1.314162954945e-01      -3.791562585149e+01       4.597673076725e-01       4.597685147983e-01 
       2.636032289537e-03      -1.233386748237e-01      -5.934493857853e+01      -5.935862204260e+01      -1.019225401176e-01      -5.933887849769e+01       4.540005709102e-01       4.540010696992e-01 
       3.318568035608e-03      -5.996349010577e-02      -9.248465667484e+01      -9.250859156865e+01      -7.020602913559e-02      -9.247738362688e+01       4.464273931053e-01       4.464278120238e-01 
       4.177829630795e-03       2.019037121169e-02      -1.433643444729e+02      -1.434073530498e+02      -2.804889317333e-01      -1.433580607804e+02       4.366528763565e-01       4.366531686571e-01 
       5.259575888354e-03       1.747689299211e-01      -2.207554434169e+02      -2.208350946021e+02       1.786413044354e-01      -2.207570103885e+02       4.242561457672e-01       4.242561457145e-01 
       6.621413741109e-03       1.684427733314e-01      -3.370997183804e+02      -3.372555872608e+02       1.721387646009e-01      -3.371310667573e+02       4.088010076216e-01       4.088010076216e-01 
       8.335866020685e-03       1.606461740961e-01      -5.094620379917e+02      -5.097800002891e+02       1.641710406574e-01      -5.095790531318e+02       3.898741675315e-01       3.898741675315e-01 
       1.049423356275e-02       1.512283938577e-01      -7.600072132419e+02      -7.606785914450e+02       1.545468663980e-01      -7.603482702926e+02       3.670500408541e-01       3.670500408541e-01 
       1.321145730945e-02       1.400060598671e-01      -1.115151569986e+03      -1.116596742206e+03       1.430792431858e-01      -1.116040696243e+03       3.399324559108e-01       3.399324559108e-01 
       1.663223933368e-02       1.269834028487e-01      -1.601510670873e+03      -1.604624075618e+03       1.297697362281e-01      -1.603664471150e+03       3.081953161607e-01       3.081953161607e-01 
       2.093874859216e-02       1.120045608949e-01      -2.237144161175e+03      -2.243690133897e+03       1.144623641637e-01      -2.242008773343e+03       2.718628072112e-01       2.718628072112e-01 
       2.636019973397e-02       9.547061066225e-02      -3.019363779631e+03      -3.032359439492e+03       9.756597337714e-02      -3.029444516680e+03       2.317818981882e-01       2.317818981882e-01 
       3.316848540014e-02       7.851242161143e-02      -3.925772260650e+03      -3.948956034221e+03       8.023545438410e-02      -3.944190472297e+03       1.905989422668e-01       1.905989422668e-01 
       4.120160921187e-02       6.379854993100e-02      -4.918705544843e+03      -4.952692435580e+03       6.519878475452e-02      -4.945955057219e+03       1.548943884281e-01       1.548943884281e-01 
       4.799454862333e-02       5.523814190208e-02      -5.779527923241e+03      -5.817953594397e+03       5.645041260291e-02      -5.810271322714e+03       1.340992844583e-01       1.340992844583e-01 
       5.291741076819e-02       5.068931007215e-02      -6.451382867167e+03      -6.489648480246e+03       5.180178587453e-02      -6.481791181222e+03       1.230585323284e-01       1.230585323284e-01 
       5.697374812408e-02       4.765820627271e-02      -7.036409973432e+03      -7.072894478118e+03       4.870428639978e-02      -7.065139537430e+03       1.157137656837e-01       1.157137656837e-01 
       6.059393440196e-02       4.533638459456e-02      -7.573046027331e+03      -7.607349310193e+03       4.633122600078e-02      -7.599773213227e+03       1.100414215335e-01       1.100414215335e-01 
       6.396953147689e-02       4.333791657953e-02      -8.073750843236e+03      -8.106145878876e+03       4.428912356750e-02      -8.098716954067e+03       1.052164742399e-01       1.052164742399e-01 
       6.720180805874e-02       4.153728939051e-02      -8.541182459391e+03      -8.572403314726e+03       4.244883955977e-02      -8.565017547070e+03       1.008277797874e-01       1.008277797874e-01 
       7.035143304535e-02       3.982179528357e-02      -8.974603892008e+03      -9.005716389591e+03       4.069563006800e-02      -8.998218501197e+03       9.665503894158e-02       9.665503894158e-02 
       7.345823166526e-02       3.814528257639e-02      -9.372007137583e+03      -9.404303415852e+03       3.898224866397e-02      -9.396503606279e+03       9.257616935260e-02       9.257616935260e-02 
       7.655025682516e-02       3.648101304377e-02      -9.731810144056e+03      -9.766695101881e+03       3.728141502146e-02      -9.758386543043e+03       8.853165312882e-02       8.853165312882e-02 
       7.964842913612e-02       3.480741001458e-02      -1.005407352262e+04      -1.009294227765e+04       3.557138388767e-02      -1.008391964131e+04       8.450624553817e-02       8.450624553817e-02 
       8.276911375480e-02       3.316410131295e-02      -1.034050993934e+04      -1.038461216300e+04       3.389195134154e-02      -1.037469218191e+04       8.051048995848e-02       8.051048995848e-02 
       8.592564655531e-02       3.154185484568e-02      -1.059638661597e+04      -1.064668934942e+04       3.223418813826e-02      -1.063573104823e+04       7.658356676544e-02       7.658356676544e-02 
       8.912928582643e-02       2.997852615369e-02      -1.082982415516e+04      -1.088687934339e+04       3.063645075114e-02      -1.087480374602e+04       7.277704780973e-02       7.277704780973e-02 
       9.238983118247e-02       2.848713149152e-02      -1.105186633803e+04      -1.111570304857e+04       2.911225954674e-02      -1.110250903424e+04       6.914911839473e-02       6.914911839473e-02 
       9.571604021863e-02       2.708801138986e-02      -1.127605446877e+04      -1.134611089535e+04       2.768247189710e-02      -1.133188500728e+04       6.575769333106e-02       6.575769333106e-02 
       9.911591714268e-02       2.581054239642e-02      -1.151706241046e+04      -1.159217432083e+04       2.637691841515e-02      -1.157709222203e+04       6.265078879437e-02       6.265078879437e-02 
       1.025969174789e-01       2.466102048944e-02      -1.178944033465e+04      -1.186791363539e+04       2.520217670779e-02      -1.185222888480e+04       5.986117854830e-02       5.986117854830e-02 
       1.061660960394e-01       2.364405620302e-02      -1.210542777936e+04      -1.218518733270e+04       2.416294998217e-02      -1.216920897900e+04       5.739902460981e-02       5.739902460981e-02 
       1.098302154953e-01       2.276011657976e-02      -1.247249816573e+04      -1.255133592014e+04       2.325956325194e-02      -1.253539141448e+04       5.524692184287e-02       5.524692184287e-02 
       1.135958269249e-01       2.197989140597e-02      -1.289195003228e+04      -1.296783648671e+04       2.246229578326e-02      -1.295222518631e+04       5.336217093560e-02       5.336217093560e-02 
       1.174693300182e-01       2.129115568076e-02      -1.335677050559e+04      -1.342820346870e+04       2.175833965390e-02      -1.341314498856e+04       5.167678575573e-02       5.167678575573e-02 
       1.214570182628e-01       2.064298071205e-02      -1.385173067440e+04      -1.391806772647e+04       2.109597372885e-02      -1.390365279181e+04       5.010690072771e-02       5.010690072771e-02 
       1.255651129075e-01       2.000685334295e-02      -1.435395682005e+04      -1.441566052610e+04       2.044588071747e-02      -1.440181519410e+04       4.856161350054e-02       4.856161350054e-02 
       1.297997884990e-01       1.934339241788e-02      -1.483643813007e+04      -1.489515817779e+04       1.976792467181e-02      -1.488163232210e+04       4.695874245146e-02       4.695874245146e-02 
       1.341671921154e-01       1.863953067951e-02      -1.527196582379e+04      -1.533039513114e+04       1.904850470590e-02      -1.531678483014e+04       4.523648031110e-02       4.523648031110e-02 
       1.386734579795e-01       1.787117531219e-02      -1.564150906383e+04      -1.570298209167e+04       1.826329747290e-02      -1.568878952988e+04       4.337271440021e-02       4.337271440021e-02 
       1.433247188375e-01       1.705099087875e-02      -1.593734800922e+04      -1.600520984534e+04       1.742511857696e-02      -1.598993785470e+04       4.138266311406e-02       4.138266311406e-02 
       1.481271152955e-01       1.619925215241e-02      -1.616951019183e+04      -1.624635029225e+04       1.655475420684e-02      -1.622961598134e+04       3.932357287633e-02       3.932357287633e-02 
       1.530868041789e-01       1.535903528290e-02      -1.636557364965e+04      -1.645249701271e+04       1.569606922768e-02      -1.643413964563e+04       3.728080797351e-02       3.728080797351e-02 
       1.582099669003e-01       1.456340001175e-02      -1.656815961419e+04      -1.666430785348e+04       1.488299335862e-02      -1.664445869512e+04       3.535215174248e-02       3.535215174248e-02 
       1.635028187715e-01       1.385075981578e-02      -1.682425261988e+04      -1.692679242385e+04       1.415469674967e-02      -1.690587523268e+04       3.362025683593e-02       3.362025683593e-02 
       1.689716201625e-01       1.323700814650e-02      -1.717249783297e+04      -1.727718453658e+04       1.352748037869e-02      -1.725583058994e+04       3.213084804779e-02       3.213084804779e-02 
       1.746226903922e-01       1.271971314942e-02      -1.762930901636e+04      -1.773162286147e+04       1.299885518344e-02      -1.771050124306e+04       3.087758735450e-02       3.087758735450e-02 
       1.804624252199e-01       1.227708541231e-02      -1.817827792166e+04      -1.827483301557e+04       1.254648661187e-02      -1.825444173597e+04       2.979949011466e-02       2.979949011466e-02 
       1.864973188017e-01       1.186541112209e-02      -1.877424609580e+04      -1.886405183279e+04       1.212581248778e-02      -1.884453063358e+04       2.880407918292e-02       2.880407918292e-02 
       1.927339909663e-01       1.144583677491e-02      -1.934937245751e+04      -1.943443732813e+04       1.169704556390e-02      -1.941548072992e+04       2.778723765515e-02       2.778723765515e-02 
       1.991792206723e-01       1.098721515294e-02      -1.983419843302e+04      -1.991906945221e+04       1.122830492060e-02      -1.989999870780e+04       2.666728772629e-02       2.666728772629e-02 
       2.058399865205e-01       1.047713181721e-02      -2.019538238795e+04      -2.028553410712e+04       1.070701788174e-02      -2.026553645195e+04       2.542801566836e-02       2.542801566836e-02 
       2.127235152266e-01       9.935710531309e-03      -2.045419028235e+04      -2.055380203983e+04       1.015378381642e-02      -2.053225937544e+04       2.412234897276e-02       2.412234897276e-02 
       2.198373390193e-01       9.409216660998e-03      -2.067776463338e+04      -2.078780344440e+04       9.615715336715e-03      -2.076457618987e+04       2.284199384170e-02       2.284199384170e-02 
       2.271893630268e-01       8.929886549215e-03      -2.095149723498e+04      -2.106909605533e+04       9.125845269135e-03      -2.104461420002e+04       2.167598474229e-02       2.167598474229e-02 
       2.347879438601e-01       8.516486467375e-03      -2.134306118530e+04      -2.146274773684e+04       8.703393001352e-03      -2.143782542116e+04       2.067488015414e-02       2.067488015414e-02 
       2.426419808235e-01       8.168501977505e-03      -2.186854008997e+04      -2.198498699228e+04       8.347771517760e-03      -2.196041108660e+04       1.982998729677e-02       1.982998729677e-02 
       2.507610214845e-01       7.857637926485e-03      -2.247045689342e+04      -2.258141052784e+04       8.030054908699e-03      -2.255750801178e+04       1.907150275250e-02       1.907150275250e-02 
       2.591553837588e-01       7.543633517568e-03      -2.304536414916e+04      -2.315303204229e+04       7.709156129239e-03      -2.312946838465e+04       1.830876437013e-02       1.830876437013e-02 
       2.678362972298e-01       7.204345759866e-03      -2.350917901292e+04      -2.361895702061e+04       7.362430439438e-03      -2.359492793555e+04       1.748612770789e-02       1.748612770789e-02 
       2.768160671805e-01       6.841680185633e-03      -2.384861607660e+04      -2.396562772750e+04       6.991837689809e-03      -2.394037514136e+04       1.660971646106e-02       1.660971646106e-02 
       2.861082658121e-01       6.484464502330e-03      -2.413723474857e+04      -2.426282653198e+04       6.626764440524e-03      -2.423615661295e+04       1.574043738417e-02       1.574043738417e-02 
       2.957279564485e-01       6.159311265605e-03      -2.449384123632e+04      -2.462468376183e+04       6.294486262426e-03      -2.459709294259e+04       1.495246771109e-02       1.495246771109e-02 
       3.056919582749e-01       5.879041425180e-03      -2.497906219054e+04      -2.510983237160e+04       6.008044942286e-03      -2.508210843304e+04       1.426953656354e-02       1.426953656354e-02 
       3.160191614937e-01       5.625013672045e-03      -2.555064076390e+04      -2.567841192855e+04       5.748460100749e-03      -2.565098334439e+04       1.365497913620e-02       1.365497913620e-02 
       3.267309059078e-01       5.374369214505e-03      -2.610165287618e+04      -2.622830100105e+04       5.492328667272e-03      -2.620088277359e+04       1.304816217797e-02       1.304816217797e-02 
       3.378514401916e-01       5.114177291899e-03      -2.654806844095e+04      -2.667831882856e+04       5.226394214412e-03      -2.665020879668e+04       1.241260462671e-02       1.241260462671e-02 
       3.494084849326e-01       4.849398786720e-03      -2.692281599370e+04      -2.705954251471e+04       4.955810645402e-03      -2.703031602850e+04       1.177058600156e-02       1.177058600156e-02 
       3.614339306269e-01       4.600847249709e-03      -2.732902594037e+04      -2.747048440223e+04       4.701804596536e-03      -2.744040276760e+04       1.116725660743e-02       1.116725660743e-02 
       3.739647132383e-01       4.376767302772e-03      -2.783729475650e+04      -2.797945696970e+04       4.472819485416e-03      -2.794911492406e+04       1.062479757358e-02       1.062479757358e-02 
       3.870439263040e-01       4.168097787490e-03      -2.839484816448e+04      -2.853632981001e+04       4.259556091396e-03      -2.850592751188e+04       1.011645881693e-02       1.011645881693e-02 
       4.007222524415e-01       3.957447749302e-03      -2.890794937120e+04      -2.905144314160e+04       4.044306936667e-03      -2.902057596018e+04       9.607999314519e-03       9.607999314519e-03 
       4.150598325525e-01       3.748038062752e-03      -2.936211849935e+04      -2.951037517412e+04       3.830279993302e-03      -2.947863377219e+04       9.097033503143e-03       9.097033503143e-03 
