k m1-monopole m1-quadrupole m2-monopole m2-quadrupole m3-monopole m3-quadrupole m4-monopole m4-quadrupole
0.0088996412 15858.764 9751.4735 20070.672 10251.973 32381.727 14157.331 59441.798 26791.585
0.015079122 20043.36 17151.785 23777.39 18527.948 35827.519 27508.779 72015.551 28449.483
0.021447902 19505.14 15186.276 24098.596 18778.613 35047.793 20442.787 70473.383 26625.978
0.027836608 17048.666 13741.118 20758.92 15560.469 30218.466 17965.781 62399.892 24064.607
0.034350998 14516.835 11211.682 17315.849 12503.78 25514.547 15095.172 52090.227 22473.051
0.040478868 12403.91 9959.4534 14768.467 10947.296 22255.109 11946.822 44981.439 20191.97
0.046767167 10790.999 8469.9704 12980.518 9319.1066 19699.909 11021.758 39577.391 15332.892
0.053082251 9741.1493 7804.7229 11692.028 8149.6221 17461.704 10422.046 34493.683 14167.768
0.059453624 8927.6048 6560.7361 10842.741 7296.7892 16175.467 8885.8605 32752.151 13148.527
0.065762248 8346.8012 6532.2391 10075.022 7258.4461 14754.7 8373.9548 30276.178 13303.151
0.071966329 7602.7601 5577.5034 9115.4545 5912.6258 13773.201 7067.5081 28113.654 10576.037
0.078278609 6789.8931 4854.5415 8254.5875 5530.5509 12596.676 6705.7233 25609.401 9733.3796
0.084703989 6099.8728 4639.765 7464.3655 5272.1668 11201.172 6363.5549 22593.452 8010.9548
0.090968546 5285.4797 4021.6377 6530.5906 4308.201 9748.5943 5449.1853 20049.86 9011.7097
0.097207898 4716.7952 3491.1866 5814.053 3898.9151 8651.9007 4754.2763 18256.551 7899.1137
0.1034763 4240.5851 3160.8996 5158.3415 3362.6735 7943.2659 4365.3974 16304.687 6676.8501
0.10975764 4008.5934 3089.9485 4931.1613 3281.4834 7352.6872 4213.1489 15520.109 7561.8419
0.11605431 3720.8047 2843.0958 4497.4897 3123.1838 6880.8507 3850.9015 14017.204 5928.001
0.12236697 3530.1905 2519.6684 4361.1533 2932.7518 6609.1501 3725.3976 13760.182 6194.4716
0.12868173 3381.8606 2465.8345 4129.7272 2811.5957 6184.1789 3415.0574 12934.327 5682.2177
0.13495008 3117.9618 2164.01 3768.9952 2481.93 5858.5293 3219.8009 12238.741 4741.6194
0.14119496 2877.1637 1991.3136 3514.25 2187.9764 5372.672 2912.4398 11316.852 5165.2105
0.14751336 2655.7811 1928.9135 3328.599 2205.6927 4998.3205 2810.225 10834.415 4557.3013
0.15378651 2439.8419 1704.8762 3051.5603 1856.9616 4707.9863 2571.3038 9624.5818 4671.4696
0.16006575 2317.0642 1785.6444 2854.3298 1958.567 4327.0972 2747.2852 9293.7459 4978.4947
0.16639912 2151.0473 1582.0747 2642.3647 1775.7236 4039.272 2241.9886 8626.3707 4027.37
0.17271956 2040.9606 1464.9507 2522.2287 1675.5463 3852.7534 2169.4909 8265.1162 3923.6072
0.17897652 1912.9588 1412.1045 2350.1726 1557.0536 3659.095 2205.4661 7751.4254 3815.9741
0.18523537 1839.2191 1338.0056 2308.1837 1616.0027 3500.4695 2009.7338 7663.1399 3898.9451
